Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Kanariehof 25,Ermelo,€ 415.000,191 m²,131 m²,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,6.160
Vlasven 33,Veghel,€ 310.000,82 m²,80 m²,2012,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.045
Mozartdreef 24,Veenendaal,€ 525.000,280 m²,131 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,2.590
Waardenborchstraat 28,Holten,€ 289.000,333 m²,89 m²,1963,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,F,Aan rustige weg en in woonwijk,Tuin rondom,2.850
Schrijvershoeve 22,Helmond,€ 385.000,140 m²,119 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,3.035
Vinkenbaan 5,Gilze,€ 325.000,134 m²,106 m²,2009,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,€ 3.286
Sierra Nevada 70,Assendelft,€ 485.000,130 m²,126 m²,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.455
Culenhof 48,Nuenen,€ 335.000,135 m²,91 m²,2009,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning (kwadrant woning)",Lessenaardak bedekt met metaal,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,825
Gentiaanstraat 84,Apeldoorn,€ 315.000,153 m²,135 m²,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.075
Bovenste Boord 17,Linne,€ 675.000,1.146 m²,233 m²,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg,Tuin rondom,3.610
Tilburgweg 45,Arnhem,€ 275.000,153 m²,90 m²,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,5.980
St Gertrudislaan 11,Eindhoven,€ 595.000,238 m²,124 m²,1953,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,,Achtertuin en voortuin,1.820
Meerstraat 35,Hillegom,€ 389.000,109 m²,127 m²,1920,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum,Achtertuin,1.865
Onyx 7,'s-Gravenzande,€ 450.000,143 m²,132 m²,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.830
Barend Kuisstraat 42,Nijkerk,€ 275.000,158 m²,98 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.385
Aart van der Leeuwstraat 8,Gorinchem,€ 540.000,240 m²,154 m²,1994,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.670
Indusstraat 38,Spijkenisse,€ 525.000,192 m²,139 m²,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,1.055
Baardmosstraat 3,Purmerend,€ 389.000,126 m²,116 m²,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,5.715
Lankforst 4205,Nijmegen,€ 275.000,165 m²,132 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040
Jadeplantsoen 17,Almere,€ 325.000,144 m²,80 m²,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.345
Lindestraat 10,St. Willebrord,€ 825.000,1.427 m²,304 m²,2012,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging en vrij uitzicht",Tuin rondom,8.960
Prinsenstraat 7,Rijssen,€ 359.000,283 m²,139 m²,1952,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.285
Hoenderhof 4,Delfzijl,€ 165.000,153 m²,95 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,,Achtertuin en voortuin,1.165
De Nachtegaal 22 G,Surhuisterveen,€ 375.000,6.167 m²,128 m²,2022,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A+++,"Aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",5.580
Eline Verelaan 17,Oosterhout (NB),€ 450.000,236 m²,142 m²,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,,Achtertuin en voortuin,2.670
Watermunt 86,Tegelen,€ 615.000,178 m²,191 m²,2001,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen en een kelder,A,"Aan water, in woonwijk en vrij uitzicht",Patio/atrium en voortuin,1.250
Napoleonshoed 41,Oosterhout (NB),€ 420.000,134 m²,118 m²,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.415
Bovendonksestraat 47,Hoeven,€ 425.000,305 m²,116 m²,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,In woonwijk,"Achtertuin, voortuin en zijtuin",4.765
Kleine Hassel 6,Lage Mierde,€ 300.000,129 m²,90 m²,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,1.395
Rosmolen 100,Alphen aan den Rijn,€ 650.000,233 m²,244 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,2.220
Eisenhowerstraat 1,Oss,€ 289.000,226 m²,99 m²,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,In woonwijk,Achtertuin en voortuin,555
C.M. van Reesstraat 8,Sliedrecht,€ 299.000,119 m²,94 m²,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,G,In woonwijk,Achtertuin en zijtuin,2.040
Rietmeent 75,Almere,€ 385.000,127 m²,123 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.245
't Muurke 2,Wanroij,€ 425.000,1.860 m²,125 m²,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met overig en pannen,7 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,G,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en tuin rondom,2.330
Osingastate 15,Leeuwarden,€ 267.500,140 m²,119 m²,1979,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin,4.055
Kamp 13 33,Lelystad,€ 315.000,200 m²,110 m²,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",1.915
Meester A Datemalaan 8,Kesteren,€ 545.000,258 m²,117 m²,2020,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.225
Prins Mauritslaan 156 E,Den Haag,€ 945.000,228 m²,171 m²,1998,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,9.775
Bromhaar 11,Nieuw Heeten,€ 325.000,268 m²,122 m²,1976,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,Aan rustige weg en in woonwijk,Achtertuin,710
Waterhoefweg 13,Oisterwijk,€ 462.500,414 m²,139 m²,1970,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en zijtuin,€ 3.802
Prinsenlaan 32,Emmen,€ 425.000,1.037 m²,152 m²,1949,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,C,In centrum,"Achtertuin, voortuin en zijtuin",1.475
Heerstraat 32,Maasbommel,€ 395.000,1.275 m²,135 m²,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer,2 woonlagen,C,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,605
Bolderik 21,Venray,€ 249.000,178 m²,118 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,1.700
Saltholm 6,Zaandam,€ 599.000,234 m²,121 m²,1995,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,B,In woonwijk,"Patio/atrium, voortuin en zonneterras",1.310
Hanendorperweg 25,Emst,€ 425.000,597 m²,92 m²,1952,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,E,Aan rustige weg en in centrum,"Achtertuin, voortuin, zijtuin en zonneterras",1.400
Dr. Ramaerlaan 26,Castricum,€ 399.000,219 m²,72 m²,1915,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,Niet verplicht,In bosrijke omgeving en in woonwijk,"Achtertuin, voortuin en zijtuin",2.060
Middenweg 71 C,Middenbeemster,€ 979.000,1.754 m²,284 m²,1988,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,"Aan rustige weg, aan water, beschutte ligging, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin",4.265
Zandhovenstraat 4,Breda,€ 325.000,179 m²,127 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Aan water en in woonwijk,Achtertuin en voortuin,4.260
Rivierdijk 655,Sliedrecht,€ 1.250.000,830 m²,316 m²,1890,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een vliering,E,Aan rustige weg,Achtertuin en voortuin,445
Weerdingerweg 27,Valthe,€ 479.000,3.845 m²,180 m²,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,C,In bosrijke omgeving en vrij uitzicht,Tuin rondom,
Wilhelminastraat 15,Meteren,€ 375.000,171 m²,84 m²,1920,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,3 kamers (2 slaapkamers),1 badkamer,2 woonlagen,G,Aan rustige weg,Achtertuin en zijtuin,845
Strammerboogh 19,Akersloot,€ 275.000,152 m²,76 m²,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,3.410
Zwarteweg 15,Leusden,€ 845.000,570 m²,154 m²,1966,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,In centrum en in woonwijk,"Achtertuin, voortuin en zijtuin",1.235
Roer 9,Deurne,€ 315.000,139 m²,178 m²,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.055
Frans Halslaan 13,Akersloot,€ 350.000,145 m²,118 m²,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.410
Hondstong 8,Heemskerk,€ 750.000,364 m²,128 m²,1989,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,3 kamers (2 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.525
Rijksweg 31,Nuland,€ 739.000,1.127 m²,163 m²,1962,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een kelder,C,,Tuin rondom,3.495
Drieseweg 6,Putten,€ 550.000,345 m²,137 m²,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,6.280
Dorpsstraat 16 a,Zieuwent,€ 369.000,365 m²,142 m²,1974,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum,"Achtertuin, voortuin en zijtuin",1.095
Richtershof 35,Kapel Avezaath (Gem. Tiel),€ 355.000,128 m²,93 m²,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,500
Groningerstraat 157,Assen,€ 399.000,335 m²,143 m²,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan drukke weg en beschutte ligging,Achtertuin en voortuin,1.810
Noordlandseweg 77 C,'s-Gravenzande,€ 850.000,1.450 m²,162 m²,1964,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een vliering,E,Aan drukke weg en vrij uitzicht,Tuin rondom,3.215
Dennekruid 210,Rotterdam,€ 427.500,156 m²,137 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,25.730
Singel 250,Vlissingen,€ 239.500,173 m²,94 m²,1933,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en zonneterras,765
Waalsteenhof 15,Hillegom,€ 649.000,211 m²,144 m²,2017,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan park, aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",710
De Gijster 72,Made,€ 579.000,527 m²,137 m²,1997,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,
Noordstraat 5,Poortvliet,€ 415.000,792 m²,159 m²,1915,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen,F,Aan rustige weg en in centrum,"Achtertuin, voortuin en zijtuin",1.260
Muidenstraat 23,Emmeloord,€ 285.000,164 m²,138 m²,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.280
Buitenerf 132,Breda,€ 390.000,270 m²,132 m²,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,4.230
Fluitenkruid 4,Gorinchem,€ 650.000,287 m²,162 m²,2018,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 2 aparte toiletten,4 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.050
Heukelom 7,Afferden (LI),€ 749.000,1.793 m²,200 m²,2004,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een kelder,A,Buiten bebouwde kom en open ligging,Tuin rondom,455
